@relation Data

@attribute index numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {1  2  3  4}

@data
148,-12.287145,-20.645273,-3.357130,1
149,-6.253642,-16.313068,-8.528020,1
150,2.837888,-15.217155,-4.224528,1
151,4.601398,-15.327226,1.138984,1
152,2.470589,-11.235498,-5.545366,1
153,-0.691526,-5.669793,-7.769495,1
154,-2.008775,-1.518246,-8.902496,1
155,-1.663012,2.377269,-9.007781,1
156,-2.603391,5.067998,-7.939385,1
157,-4.534399,5.394619,-6.702296,1
158,-6.638886,7.386643,-3.469593,1
159,-4.518846,2.457429,2.417947,1
160,-2.199004,-9.302098,23.654249,1
161,-9.933804,-17.301304,20.246868,1
162,-13.820944,-12.565908,13.475181,1
163,-9.068798,-3.269792,9.864411,1
164,-7.615158,-3.323631,-7.440482,1
165,-5.046463,-13.133007,-2.470589,1
166,-3.048456,-14.185849,-7.036095,1
167,3.140580,-8.999406,-10.005588,1
168,-2.670390,-8.681161,-1.610370,1
169,-9.523434,-9.755538,-7.018149,1
170,-8.573483,-12.441482,-9.658628,1
171,-2.161915,-17.252251,-5.715257,1
172,-2.632105,-18.221344,-3.596412,1
173,0.662812,-13.965710,-3.631108,1
174,5.288138,-11.509477,-0.323031,1
175,5.796613,-9.279366,2.867798,1
176,5.650651,-9.566504,4.218546,1
177,2.555535,-11.830115,2.941975,1
178,-3.899105,-13.476377,9.075976,1
179,-10.236495,-14.085350,18.454645,1
180,-10.823934,-11.496316,5.114658,1
181,-5.647061,-10.493724,5.741578,1
182,4.296313,-14.992230,11.612369,1
183,12.037094,-17.346767,3.847659,1
184,15.779469,-16.146767,4.170690,1
185,9.722038,-9.469596,3.298506,1
186,3.854837,-12.446267,-3.393023,1
187,-2.222932,-18.374485,-3.923033,1
188,-8.508878,-23.825335,10.791630,1
189,-9.883554,-27.019753,2.980261,1
190,-15.415760,-22.352552,-4.877769,1
191,-7.331609,-18.690338,-6.622137,1
192,-2.404787,-15.621543,1.317249,1
193,0.595813,-13.801801,-2.449054,1
194,1.624727,-11.083554,-8.330612,1
195,-0.902094,-5.812166,-8.810373,1
196,-3.404987,-0.205783,-9.208778,1
197,-4.362116,5.062016,-8.159525,1
198,-3.172883,8.669196,-9.621540,1
199,-3.845266,9.694521,-4.399204,1
200,-8.244471,4.443471,6.606583,1
201,-8.207381,-6.247660,25.471598,1
202,-13.166507,-13.702498,15.034104,1
203,-14.461023,-13.934603,9.214760,1
204,-9.424132,-8.693125,2.003989,1
205,-4.973482,-7.897511,-22.962723,1
206,-3.361916,-14.129618,-8.989835,1
207,-4.554738,-20.647667,-1.529014,1
208,0.681954,-14.079369,-13.537395,1
209,-3.406183,-14.446667,-11.980863,1
210,-3.335595,-15.332011,-8.606983,1
211,-1.499103,-11.814562,-4.272385,1
212,-1.396212,-7.435697,-2.012364,1
213,-0.254836,-5.261817,0.070588,1
214,0.891326,-6.921239,4.530810,1
215,1.623530,-10.256834,0.156730,1
216,3.048456,-13.299308,3.680161,1
217,1.122234,-16.406389,4.876573,1
218,-4.427918,-16.604992,5.694918,1
219,-9.560523,-14.350954,18.429520,1
220,-5.260621,-12.116057,16.389639,1
221,2.414358,-13.554144,-1.920240,1
222,10.516456,-13.397414,3.218346,1
223,14.163117,-12.264413,9.908679,1
224,7.972885,-7.383054,2.092523,1
225,4.436293,-10.104890,-4.262814,1
226,4.222136,-15.162121,-5.577670,1
227,-0.196211,-22.577478,-1.586441,1
228,-12.162718,-31.215569,0.830309,1
229,-18.047865,-32.609386,-1.552942,1
230,-20.544775,-19.733608,-2.670390,1
231,-10.309476,-12.461821,-4.107280,1
232,-3.317649,-7.422536,-1.044467,1
233,3.360719,-6.132804,-5.423333,1
234,2.915654,-3.736392,-6.940382,1
235,1.834099,0.116052,-5.728417,1
236,1.186840,2.925226,-7.012167,1
237,0.023928,4.710271,-10.080962,1
238,-0.183051,6.031109,-11.886347,1
239,-2.137987,4.979464,-3.377469,1
240,-9.444471,-3.330809,31.049267,1
241,-13.116258,-13.637893,19.810179,1
242,-12.500106,-17.206787,7.475178,1
243,-7.933403,-11.609976,6.599405,1
244,-2.472982,-2.384448,-2.185843,1
245,-0.930808,-5.575277,-25.353153,1
246,-13.783854,-20.622541,16.825132,1
247,-0.232104,-19.322042,-21.153749,1
248,1.740778,-10.670793,-13.682159,1
249,-6.357730,-11.972488,-10.430314,1
250,-5.699704,-17.570498,-7.697711,1
251,-1.676172,-15.603597,-5.266603,1
252,0.625723,-9.742377,-6.875776,1
253,0.814756,-7.064809,-5.462814,1
254,0.821935,-6.490531,1.674976,1
255,0.507278,-7.642675,10.076176,1
256,0.600598,-10.786844,10.511670,1
257,-0.449851,-14.787644,8.193025,1
258,-5.986842,-13.794622,2.344966,1
259,-8.118847,-11.152946,4.566702,1
260,-5.717650,-10.814362,14.498113,1
261,1.350748,-14.715859,9.134601,1
262,8.135597,-16.248463,-0.223729,1
263,14.161921,-15.982859,9.434899,1
264,10.709078,-11.767901,7.812566,1
265,5.557331,-11.529816,-5.772685,1
266,3.963711,-16.839489,-5.464011,1
267,-0.427119,-21.073589,-3.370291,1
268,-10.644471,-27.040092,3.940979,1
269,-14.354543,-30.581470,-0.459422,1
270,-18.952353,-21.844078,-3.554538,1
271,-9.335598,-14.257634,-5.157729,1
272,-1.977668,-9.590433,-4.214957,1
273,1.996811,-7.205986,-3.215954,1
274,3.524628,-4.648058,-6.540781,1
275,2.306681,-0.368495,-5.254639,1
276,1.183251,2.752943,-6.924829,1
277,-0.265603,5.578866,-10.868200,1
278,-3.121437,7.462018,-12.273984,1
279,-3.420540,6.794420,-10.120443,1
280,-6.001199,0.594616,3.584448,1
281,-11.653047,-13.819747,42.841095,1
282,-15.688541,-23.296522,17.832510,1
283,-5.620740,-16.752151,7.617551,1
284,-5.688936,-3.437290,3.635894,1
285,-2.472982,-1.243071,-18.759729,1
286,-8.020741,-11.420942,1.168894,1
287,-5.560920,-22.694727,-2.688336,1
288,2.358127,-9.728021,-15.590436,1
289,-3.957729,-10.569098,-11.255837,1
290,-8.070991,-14.703896,-10.935200,1
291,-2.260021,-22.137199,-6.872187,1
292,-0.451047,-16.382460,-5.315656,1
293,3.040081,-11.033305,-6.429514,1
294,3.919444,-7.992028,-4.207778,1
295,2.011168,-6.399604,9.926624,1
296,2.907279,-8.055437,8.965906,1
297,-0.358923,-9.901500,9.293723,1
298,-2.962314,-13.808979,5.450850,1
299,-5.306084,-14.662021,0.095713,1
300,-7.399804,-11.723635,0.954736,1
301,-6.636494,-9.008977,13.775480,1
302,0.197408,-10.029516,15.352350,1
303,4.819145,-13.707285,-1.183251,1
304,10.579865,-14.452649,-1.496711,1
305,11.907882,-13.272987,4.023531,1
306,11.085947,-14.303098,0.535992,1
307,5.617151,-16.065411,-4.620541,1
308,-1.635494,-18.702301,-5.661418,1
309,-7.594819,-21.012571,-3.436093,1
310,-18.124435,-29.001011,-0.491725,1
311,-17.024933,-26.957541,-0.202194,1
312,-8.301898,-19.032511,-6.844669,1
313,-1.612762,-12.574283,-2.440679,1
314,1.008575,-8.255239,-3.665804,1
315,0.558724,-3.925426,-4.315455,1
316,0.666401,0.125623,-6.185447,1
317,-0.100499,3.008975,-6.807580,1
318,0.575474,3.878766,-6.692725,1
319,-0.876970,5.099105,-11.231910,1
320,-2.730211,5.958128,-10.926825,1
321,-2.474179,3.220739,-6.973882,1
322,-3.308077,-3.920640,20.026730,1
323,-11.071590,-15.658631,31.667810,1
324,-14.733806,-22.987846,15.226727,1
325,-8.108080,-17.516659,4.882555,1
326,-5.960521,-3.890730,6.206982,1
327,2.697907,2.372484,-14.493327,1
328,-3.914658,-12.728621,5.257031,1
329,-12.477374,-26.653652,-1.046860,1
330,3.235096,-8.760123,-20.072193,1
331,-2.286342,-9.541380,-8.751749,1
332,-7.695318,-12.865011,-9.109476,1
333,-3.365505,-19.887945,-7.777870,1
334,-0.961915,-17.522640,-5.929415,1
335,0.970290,-12.429517,-7.406982,1
336,4.267599,-9.361918,-5.186443,1
337,4.073781,-5.670990,7.599605,1
338,1.462015,-6.093323,5.649454,1
339,-0.776471,-7.062416,8.340183,1
340,-1.021735,-9.611969,7.142576,1
341,-3.312863,-11.844472,2.025524,1
342,-5.279763,-13.371093,-2.050649,1
343,-6.429514,-13.602000,2.632105,1
344,-3.024528,-10.261620,25.392633,1
345,1.564906,-13.121043,3.680161,1
346,7.142576,-16.338194,-2.687140,1
347,11.648261,-14.796019,2.245664,1
348,9.923036,-14.510077,6.155536,1
349,7.726424,-15.482759,-3.266203,1
350,3.844069,-18.892530,-7.085148,1
351,-2.903690,-18.032312,-4.734200,1
352,-10.291531,-20.768503,-2.548356,1
353,-19.549360,-27.346375,2.620141,1
354,-14.962320,-24.827929,-1.448854,1
355,-4.408776,-16.795221,-8.477771,1
356,2.467000,-11.511869,-2.202593,1
357,3.011367,-8.172686,-4.335794,1
358,2.333002,-3.533003,-4.995017,1
359,0.422333,0.259621,-5.697311,1
360,-0.592224,2.845066,-7.241878,1
361,0.482154,3.780660,-7.214360,1
362,-2.012364,4.582255,-10.859825,1
363,-4.481757,5.565705,-9.585648,1
364,-2.739782,3.232703,-9.315259,1
365,-4.001996,-2.289931,9.924232,1
366,-12.528819,-14.697913,45.649075,1
367,-16.966309,-23.010578,12.290733,1
368,-8.015956,-16.670795,4.657629,1
369,-5.766703,-4.959125,8.254042,1
370,-1.214357,-11.413764,-7.427321,1
371,-2.933601,-21.972094,3.403790,1
372,1.678565,-9.735199,-19.225134,1
373,-1.002593,-4.886144,-10.741381,1
374,-8.455039,-9.285348,-7.802995,1
375,-8.421539,-17.132610,-9.363115,1
376,-4.218546,-22.325035,-7.715657,1
377,-2.362912,-14.445470,-8.007581,1
378,2.232503,-11.068001,-7.884351,1
379,5.198407,-8.657232,-3.383451,1
380,5.834898,-5.846862,14.464613,1
381,4.006782,-5.760721,7.737192,1
382,3.158526,-11.212767,5.422136,1
383,-0.581456,-12.841083,7.082755,1
384,-3.360719,-13.180863,2.463411,1
385,-5.277370,-12.301501,1.192822,1
386,-8.160722,-11.965310,15.436099,1
387,-1.757528,-12.625729,14.532808,1
388,5.442475,-14.665610,-1.891526,1
389,11.794223,-15.121443,7.648658,1
390,9.310472,-11.781062,8.195417,1
391,7.391429,-11.885150,-3.242275,1
392,6.138786,-17.728422,-6.774081,1
393,-1.111466,-19.353149,-7.458428,1
394,-9.878768,-21.822542,5.353940,1
395,-13.433307,-26.051857,5.678168,1
396,-15.710077,-21.290140,-4.834698,1
397,-7.359126,-15.424135,-2.813959,1
398,-0.185444,-11.015359,-1.071985,1
399,2.134398,-8.409575,-3.901497,1
400,2.889333,-6.029913,-4.926822,1
401,1.616352,-2.572284,-4.688736,1
402,2.433501,-0.507278,-6.105287,1
403,1.830509,0.912862,-9.577272,1
404,-2.766103,2.657230,-13.105490,1
405,-3.988835,4.639683,-10.926825,1
406,-1.895115,2.666801,-9.629914,1
407,-4.856234,-1.908276,9.002995,1
408,-14.183456,-12.983456,47.718864,1
409,-18.317057,-20.985054,13.812569,1
410,-8.750552,-16.094126,7.555337,1
411,-2.274378,-1.469193,1.624727,1
412,0.595813,1.807778,-17.690138,1
413,-9.476774,-10.656436,-7.160522,1
414,-10.052248,-29.916265,9.415757,1
415,3.900301,-13.885550,-14.816358,1
416,-2.685943,-12.226128,-12.636497,1
417,-5.809773,-14.967106,-9.119047,1
418,-0.541974,-17.210377,-6.594619,1
419,1.350748,-13.209578,-6.134001,1
420,3.602395,-9.674182,-5.913861,1
421,2.271985,-7.539784,-3.516253,1
422,0.984646,-5.860023,7.414161,1
423,0.376870,-6.735796,10.426724,1
424,0.208176,-7.950153,7.598408,1
425,-0.827917,-10.843076,2.583052,1
426,-1.775474,-13.720445,-2.141576,1
427,-4.005585,-15.109479,-4.392026,1
428,-5.417350,-13.763515,9.951750,1
429,-3.058027,-9.542577,25.471598,1
430,1.983650,-13.112668,-1.916651,1
431,9.065208,-14.845072,-4.340580,1
432,10.548759,-12.253645,6.154340,1
433,8.347362,-12.239287,7.269395,1
434,5.541777,-13.390236,1.013360,1
435,2.968297,-15.136996,-4.540381,1
436,-0.552742,-17.769100,-5.777470,1
437,-6.032306,-16.856239,-3.901497,1
438,-12.903296,-22.155146,-0.001196,1
439,-20.187048,-27.810581,1.318445,1
440,-11.930614,-22.907688,-2.991028,1
441,-2.027917,-15.038890,-4.095316,1
442,3.937390,-10.624132,-2.770889,1
443,3.576073,-7.935796,-4.171886,1
444,1.549353,-4.315455,-5.892326,1
445,0.289532,-0.021535,-5.776274,1
446,0.522832,2.267200,-6.430711,1
447,-0.610170,2.719443,-9.978070,1
448,-1.923829,3.138187,-10.510473,1
449,-1.223929,3.367898,-9.141779,1
450,-0.233300,0.717847,-8.404790,1
451,-3.976871,-2.760121,6.662815,1
452,-10.181460,-11.633904,47.641098,1
453,-13.234702,-19.216759,13.501502,1
454,-12.093326,-19.869999,8.280363,1
455,-2.750550,-7.816155,8.596215,1
456,-0.565903,-3.139383,-5.033302,1
457,-3.192025,-15.147764,-7.330412,1
458,-7.688139,-20.648863,4.220939,1
459,2.197808,-7.384251,-17.569300,1
460,-2.328216,-9.710074,-7.579266,1
461,-3.050849,-12.908082,-10.059426,1
462,-0.876970,-17.355143,-9.351151,1
463,-0.683151,-18.817158,-7.195218,1
464,0.824327,-14.755341,-8.264810,1
465,4.608576,-10.852647,-6.689136,1
466,3.042474,-7.505088,4.418347,1
467,1.075574,-6.976274,7.385447,1
468,0.266800,-8.230113,4.834698,1
469,-1.374677,-9.090333,3.503092,1
470,-3.671786,-9.513863,3.160919,1
471,-7.043273,-9.766306,5.075177,1
472,-5.490332,-10.555937,10.955539,1
473,-0.491725,-10.164711,5.316852,1
474,3.425326,-9.728021,-1.453640,1
475,9.157332,-11.081161,6.242874,1
476,10.137193,-11.956935,9.564112,1
477,5.929415,-10.652846,4.865805,1
478,1.422533,-10.541580,3.410969,1
479,2.179862,-14.733806,0.662812,1
480,0.698704,-19.619949,-4.017549,1
481,-5.010571,-18.977476,-6.223732,1
482,-9.844072,-20.647667,1.386641,1
483,-16.212570,-20.350956,4.794020,1
484,-10.326226,-20.139193,-0.501296,1
485,-2.900101,-16.711473,-1.330409,1
486,0.632902,-14.252848,-3.058027,1
487,0.175872,-10.645668,-1.605584,1
488,-0.301496,-7.996813,-3.805784,1
489,-1.781456,-5.166104,-2.606980,1
490,-2.401197,-3.309274,-3.762714,1
491,-2.955136,-0.847059,-4.145565,1
492,-3.371487,1.176072,-5.913861,1
493,-3.257828,2.733800,-7.814959,1
494,-3.873980,-16.432709,-0.757328,1
495,-4.681558,-15.699309,11.698510,1
496,0.543171,-12.527623,9.001799,1
497,5.118248,-14.603396,1.499103,1
498,5.229514,-17.391035,-2.048256,1
499,-0.492921,-15.801004,4.537988,1
500,-4.877769,-15.920646,17.389839,1
501,-2.002793,-13.215559,1.935794,1
502,0.550349,-10.229317,-6.687939,1
503,-0.230907,-12.729816,2.573481,1
504,-5.259424,-18.065811,6.084948,1
505,-5.996414,-20.481365,1.453640,1
506,-0.714258,-19.191633,-3.949354,1
507,1.117448,-17.752352,-1.293321,1
508,0.101695,-16.380068,1.294517,1
509,-1.347159,-15.219548,-1.462015,1
510,-2.591427,-12.806387,-4.761717,1
511,-1.929811,-8.484949,-5.050052,1
512,-2.868994,-2.930011,-4.656433,1
513,-0.413958,3.317649,-5.491528,1
514,2.312663,8.165507,-3.044867,1
515,-2.488536,7.330412,2.715854,1
516,-7.658229,0.848256,1.344766,1
517,-8.823533,-3.056831,3.096313,1
518,-11.876775,-7.074380,12.729816,1
519,-13.495520,-10.998610,12.145967,1
520,-8.067402,-10.506885,-7.998010,1
521,-3.232703,-7.730013,-12.413964,1
522,-0.647259,-7.010970,-7.708478,1
523,-0.544367,-6.812366,-5.339584,1
524,-2.179862,-8.398808,-4.388437,1
525,-3.159722,-10.845469,-6.965507,1
526,-1.574477,-14.827126,-6.897311,1
527,0.695115,-20.032711,-1.500300,1
528,3.902694,-19.579271,1.752743,1
529,5.351548,-18.071793,-1.752743,1
530,5.501099,-17.353947,-1.141376,1
531,1.339981,-18.251255,7.737192,1
532,-4.309474,-20.085354,16.210176,1
533,-8.066205,-14.818750,17.740387,1
534,-6.568298,-9.625129,18.260826,1
535,1.826920,-9.933804,17.416159,1
536,8.315059,-8.793623,8.037491,1
537,5.726025,-8.371290,2.895315,1
538,4.773681,-12.151950,8.195417,1
539,5.071588,-19.936998,4.156333,1
540,0.479761,-25.406990,2.730211,1
541,-4.497310,-26.537600,-1.969293,1
542,-6.202196,-23.907887,-4.542774,1
543,-4.905286,-19.402203,-0.367298,1
544,-4.403990,-17.060825,-2.543571,1
545,-2.924029,-11.630315,-5.925825,1
546,-3.042474,-6.681957,-8.606983,1
547,-3.859623,-0.373280,-8.094919,1
548,-4.991428,7.380661,-10.991431,1
549,-3.359523,9.856036,-9.962517,1
550,-3.669394,6.340980,-0.005982,1
551,-7.408179,-1.499103,28.634909,1
552,-11.560923,-10.607383,15.688541,1
553,-9.422935,-11.747562,8.386844,1
554,-3.262614,-5.087141,-15.978073,1
555,-0.212961,-7.605587,-17.870796,1
556,-13.761123,-16.346567,-0.555135,1
557,-7.166504,-17.046469,-12.392428,1
558,0.358923,-17.143377,-9.535398,1
559,-2.868994,-12.628121,-10.072587,1
560,-2.882155,-13.265809,-7.482357,1
561,2.240878,-12.439089,-3.035295,1
562,3.591627,-12.246467,-0.882952,1
563,2.876173,-13.256237,-4.080959,1
564,0.561117,-14.947963,0.157926,1
565,-3.699304,-19.733608,14.495720,1
566,-8.581859,-16.494923,21.332014,1
567,-8.733803,-10.352547,10.035499,1
568,-3.976871,-7.237092,11.414961,1
569,6.538388,-8.264810,10.241281,1
570,13.972888,-10.670793,1.055235,1
571,16.561922,-9.219545,3.236293,1
572,14.036298,-7.488338,4.303492,1
573,10.293923,-15.424135,-5.432904,1
574,7.794620,-24.916462,-5.588437,1
575,-3.314059,-30.708290,0.803988,1
576,-14.212170,-37.720455,-4.226921,1
577,-22.079771,-31.892736,-3.943372,1
578,-14.468203,-18.392431,-5.892326,1
579,-5.054838,-10.481760,-4.402794,1
580,0.345763,-7.105487,-4.841877,1
581,-1.640280,-2.610569,-10.114461,1
582,-3.285346,2.183451,-8.216953,1
583,-2.427519,4.144369,-9.237492,1
584,-1.123430,4.783252,-10.230514,1
585,-1.143769,5.758327,-8.147561,1
586,-5.919843,7.502696,3.614359,1
587,-12.655639,1.825724,32.090145,1
588,-17.503498,-8.755338,13.292130,1
589,-18.550358,-13.725230,2.304288,1
590,-10.666007,-11.265409,3.651447,1
591,1.848456,-8.163115,-13.153346,1
592,3.294917,-22.248465,11.700903,1
593,-3.578466,-23.172094,-16.590635,1
594,4.569095,-9.215957,-13.563715,1
595,-4.061816,-9.297313,-8.202596,1
596,-10.619347,-13.385449,-8.227720,1
597,-6.695118,-21.631117,-9.726824,1
598,-4.478168,-18.166309,-7.618747,1
599,-0.277567,-12.618550,-7.749156,1
600,4.167100,-9.873982,-7.958528,1
601,6.827919,-8.614161,0.739382,1
602,7.555337,-6.368497,12.605390,1
603,2.252842,-8.730213,6.734599,1
604,-1.042074,-13.842479,7.848458,1
605,-3.309274,-15.438492,6.581459,1
606,-3.820141,-12.658031,6.545567,1
607,-0.788435,-11.347961,13.373486,1
608,4.447061,-12.497713,5.115855,1
609,10.250853,-13.228720,1.375873,1
610,11.044073,-12.241681,3.001796,1
611,10.010373,-13.079168,3.226721,1
612,8.656036,-14.292330,-5.596812,1
613,4.558327,-18.431913,-5.717650,1
614,-2.147558,-18.574286,-3.978068,1
615,-6.894918,-23.721247,-0.771685,1
616,-21.005394,-32.769707,-2.928815,1
617,-16.235302,-26.718258,-1.822134,1
618,-5.998806,-17.556139,-5.473582,1
619,0.492921,-11.767901,-2.161915,1
620,1.965704,-7.591230,-3.194418,1
621,0.943969,-3.814159,-6.491728,1
622,-0.656830,0.337388,-6.775277,1
623,-0.524028,3.572484,-7.355537,1
